candidate_id,job_id,role,candidate_skills_list,recruiter_priority_list,recruiter_skill_weights_dict,experience_years
c023,j067,ui/ux designer,"['node', 'ux research', 'figma', 'marketing']","['seo', 'figma', 'ux research', 'node', 'marketing', 'sql']","{'seo': 5, 'figma': 4, 'ux research': 3, 'node': 2, 'marketing': 1, 'sql': 1}",2
c036,j197,network engineer,"['sales', 'seo', 'support', 'java', 'cloud', 'teamwork', 'node']","['sales', 'cloud', 'node', 'marketing', 'teamwork']","{'sales': 5, 'cloud': 4, 'node': 3, 'marketing': 2, 'teamwork': 1}",7
c050,j173,financial analyst,"['git', 'support', 'accounting', 'teamwork', 'ops', 'ios', 'security', 'crm']","['excel', 'seo', 'prototyping', 'java', 'sql', 'ux research']","{'excel': 5, 'seo': 4, 'prototyping': 3, 'java': 2, 'sql': 1, 'ux research': 1}",2
c114,j042,mobile developer,"['ios', 'communication', 'docker', 'crm', 'android', 'cloud', 'embedded']","['docker', 'android', 'cloud', 'finance']","{'docker': 5, 'android': 4, 'cloud': 3, 'finance': 2}",12
c007,j121,marketing analyst,"['prototyping', 'node', 'figma', 'ml', 'support', 'firewall', 'ios', 'android']","['firewall', 'node']","{'firewall': 5, 'node': 4}",6
c034,j098,product manager,"['git', 'communication', 'firewall', 'seo', 'node', 'security', 'accounting']","['seo', 'git']","{'seo': 5, 'git': 4}",9
c024,j175,data analyst,"['crm', 'linux']","['ux research', 'linux', 'sql', 'crm']","{'ux research': 5, 'linux': 4, 'sql': 3, 'crm': 2}",5
c135,j109,network engineer,"['ops', 'crm', 'support', 'sales', 'git']","['sales', 'android', 'excel', 'sql', 'git']","{'sales': 5, 'android': 4, 'excel': 3, 'sql': 2, 'git': 1}",1
c066,j075,ui/ux designer,"['ux research', 'security', 'linux', 'ops', 'embedded', 'ml', 'firewall']","['marketing', 'cloud', 'sql', 'teamwork']","{'marketing': 5, 'cloud': 4, 'sql': 3, 'teamwork': 2}",2
c024,j180,ui/ux designer,"['ios', 'ml', 'react', 'figma', 'seo', 'support', 'python', 'c']","['crm', 'excel']","{'crm': 5, 'excel': 4}",3
c088,j013,cybersecurity analyst,"['teamwork', 'prototyping', 'java', 'embedded']","['teamwork', 'seo']","{'teamwork': 5, 'seo': 4}",6
c122,j164,mobile developer,"['linux', 'support', 'figma', 'git']","['excel', 'security', 'support', 'linux', 'cloud', 'firewall']","{'excel': 5, 'security': 4, 'support': 3, 'linux': 2, 'cloud': 1, 'firewall': 1}",1
c170,j044,data analyst,"['linux', 'figma', 'marketing', 'prototyping']","['prototyping', 'figma', 'communication', 'linux']","{'prototyping': 5, 'figma': 4, 'communication': 3, 'linux': 2}",1
c141,j118,marketing analyst,"['crm', 'communication']","['c', 'marketing', 'linux', 'ios', 'python']","{'c': 5, 'marketing': 4, 'linux': 3, 'ios': 2, 'python': 1}",6
c184,j122,data scientist,"['sql', 'docker']","['docker', 'sql', 'sales']","{'docker': 5, 'sql': 4, 'sales': 3}",6
c160,j093,ui/ux designer,"['prototyping', 'ux research', 'sql', 'ios', 'marketing', 'cloud', 'git', 'android']","['crm', 'java', 'linux', 'node', 'finance', 'teamwork']","{'crm': 5, 'java': 4, 'linux': 3, 'node': 2, 'finance': 1, 'teamwork': 1}",12
c173,j017,marketing analyst,"['ops', 'python', 'seo', 'marketing']","['figma', 'firewall', 'embedded', 'excel', 'ops', 'ml']","{'figma': 5, 'firewall': 4, 'embedded': 3, 'excel': 2, 'ops': 1, 'ml': 1}",0
c041,j073,hr coordinator,"['seo', 'git', 'accounting']","['seo', 'accounting']","{'seo': 5, 'accounting': 4}",12
c113,j044,ui/ux designer,"['teamwork', 'node', 'ux research', 'crm']","['sql', 'networking', 'finance', 'seo', 'java', 'support']","{'sql': 5, 'networking': 4, 'finance': 3, 'seo': 2, 'java': 1, 'support': 1}",2
c180,j118,software engineer,"['ux research', 'android', 'prototyping', 'communication']","['communication', 'prototyping', 'networking']","{'communication': 5, 'prototyping': 4, 'networking': 3}",2
c059,j133,operations associate,"['support', 'teamwork', 'ux research', 'cloud', 'ml', 'git', 'crm']","['ux research', 'cloud', 'crm', 'support', 'git', 'teamwork']","{'ux research': 5, 'cloud': 4, 'crm': 3, 'support': 2, 'git': 1, 'teamwork': 1}",0
c098,j161,embedded engineer,"['networking', 'cloud', 'crm', 'teamwork', 'c', 'android']","['figma', 'support', 'linux', 'docker', 'seo', 'sales']","{'figma': 5, 'support': 4, 'linux': 3, 'docker': 2, 'seo': 1, 'sales': 1}",12
c079,j043,ui/ux designer,"['docker', 'marketing', 'c', 'networking', 'ux research', 'prototyping']","['ux research', 'teamwork']","{'ux research': 5, 'teamwork': 4}",8
c057,j190,embedded engineer,"['support', 'ux research', 'communication', 'ios', 'git', 'firewall', 'android', 'marketing']","['git', 'docker', 'networking', 'ios']","{'git': 5, 'docker': 4, 'networking': 3, 'ios': 2}",6
c044,j040,hr coordinator,"['node', 'security', 'android', 'sql', 'react', 'linux']","['node', 'security', 'linux', 'sql', 'android', 'react']","{'node': 5, 'security': 4, 'linux': 3, 'sql': 2, 'android': 1, 'react': 1}",7
c017,j097,customer support,"['finance', 'java', 'cloud', 'crm', 'c', 'security', 'communication', 'firewall']","['crm', 'c']","{'crm': 5, 'c': 4}",2
c099,j183,network engineer,"['python', 'support', 'seo', 'finance', 'teamwork']","['support', 'react']","{'support': 5, 'react': 4}",7
c090,j089,data scientist,"['react', 'sql', 'c', 'communication']","['networking', 'ios', 'sales', 'sql']","{'networking': 5, 'ios': 4, 'sales': 3, 'sql': 2}",8
c151,j011,devops engineer,"['teamwork', 'ml', 'ios', 'c', 'support']","['communication', 'teamwork', 'ios', 'c', 'ml', 'support']","{'communication': 5, 'teamwork': 4, 'ios': 3, 'c': 2, 'ml': 1, 'support': 1}",8
c151,j093,customer support,"['firewall', 'networking', 'ux research', 'react', 'finance', 'security']","['embedded', 'communication', 'ux research', 'prototyping']","{'embedded': 5, 'communication': 4, 'ux research': 3, 'prototyping': 2}",11
c194,j125,network engineer,"['android', 'excel', 'marketing']","['marketing', 'android', 'embedded', 'excel']","{'marketing': 5, 'android': 4, 'embedded': 3, 'excel': 2}",6
c107,j068,ui/ux designer,"['ml', 'prototyping', 'crm', 'teamwork', 'networking']","['c', 'cloud', 'communication']","{'c': 5, 'cloud': 4, 'communication': 3}",10
c121,j082,cybersecurity analyst,"['crm', 'finance', 'c', 'sales', 'accounting', 'security', 'java', 'cloud']","['sales', 'finance', 'support', 'security', 'crm', 'c']","{'sales': 5, 'finance': 4, 'support': 3, 'security': 2, 'crm': 1, 'c': 1}",5
c178,j082,software engineer,"['support', 'marketing', 'ux research', 'accounting', 'ml', 'figma']","['teamwork', 'seo', 'android']","{'teamwork': 5, 'seo': 4, 'android': 3}",0
c078,j120,embedded engineer,"['node', 'embedded', 'crm', 'sales', 'accounting', 'docker', 'cloud']","['node', 'embedded', 'ux research']","{'node': 5, 'embedded': 4, 'ux research': 3}",8
c055,j137,hr coordinator,"['support', 'ux research', 'communication', 'figma', 'node', 'git', 'security']","['node', 'communication', 'security', 'support', 'prototyping', 'git']","{'node': 5, 'communication': 4, 'security': 3, 'support': 2, 'prototyping': 1, 'git': 1}",6
c078,j155,ui/ux designer,"['ux research', 'firewall', 'react', 'ml', 'cloud', 'git', 'seo', 'node']","['docker', 'python', 'figma', 'communication', 'sql']","{'docker': 5, 'python': 4, 'figma': 3, 'communication': 2, 'sql': 1}",2
c001,j017,hr coordinator,"['cloud', 'git', 'ux research', 'sql', 'finance', 'java', 'firewall', 'android']","['firewall', 'ux research', 'android']","{'firewall': 5, 'ux research': 4, 'android': 3}",10
c036,j069,customer support,"['prototyping', 'ops']","['linux', 'security', 'communication', 'sales']","{'linux': 5, 'security': 4, 'communication': 3, 'sales': 2}",0
c197,j171,customer support,"['prototyping', 'firewall', 'git', 'ux research', 'communication', 'linux', 'node']","['python', 'c', 'prototyping', 'node', 'figma', 'firewall']","{'python': 5, 'c': 4, 'prototyping': 3, 'node': 2, 'figma': 1, 'firewall': 1}",11
c080,j057,software engineer,"['python', 'accounting', 'sql', 'cloud', 'security', 'ml', 'docker']","['sql', 'docker', 'security', 'ml', 'python']","{'sql': 5, 'docker': 4, 'security': 3, 'ml': 2, 'python': 1}",5
c166,j189,network engineer,"['react', 'android', 'cloud', 'networking', 'support', 'sql', 'excel']","['react', 'excel']","{'react': 5, 'excel': 4}",11
c111,j109,mobile developer,"['excel', 'ios', 'sales']","['ios', 'sales', 'excel']","{'ios': 5, 'sales': 4, 'excel': 3}",12
c155,j123,financial analyst,"['communication', 'finance', 'ops', 'sales', 'cloud', 'c', 'accounting', 'networking']","['c', 'accounting', 'cloud', 'ops', 'security', 'finance']","{'c': 5, 'accounting': 4, 'cloud': 3, 'ops': 2, 'security': 1, 'finance': 1}",7
c166,j014,mobile developer,"['git', 'ml', 'sales', 'python', 'cloud']","['python', 'docker', 'cloud', 'node', 'git']","{'python': 5, 'docker': 4, 'cloud': 3, 'node': 2, 'git': 1}",3
c020,j096,devops engineer,"['java', 'seo', 'figma', 'networking', 'ux research']","['linux', 'docker', 'communication', 'python', 'excel', 'security']","{'linux': 5, 'docker': 4, 'communication': 3, 'python': 2, 'excel': 1, 'security': 1}",9
c162,j069,software engineer,"['excel', 'embedded', 'firewall', 'ops', 'ux research', 'ml', 'android', 'git']","['ux research', 'excel', 'android']","{'ux research': 5, 'excel': 4, 'android': 3}",4
c188,j051,customer support,"['networking', 'sales', 'ux research', 'embedded', 'python', 'crm', 'linux', 'support']","['git', 'prototyping', 'figma', 'cloud', 'ml', 'c']","{'git': 5, 'prototyping': 4, 'figma': 3, 'cloud': 2, 'ml': 1, 'c': 1}",0
c167,j185,marketing analyst,"['docker', 'security']","['networking', 'python', 'sales']","{'networking': 5, 'python': 4, 'sales': 3}",0
c061,j138,product manager,"['git', 'seo']","['react', 'python', 'docker', 'c', 'prototyping']","{'react': 5, 'python': 4, 'docker': 3, 'c': 2, 'prototyping': 1}",9
c027,j184,operations associate,"['firewall', 'linux', 'sql', 'crm', 'figma']","['crm', 'android', 'ios']","{'crm': 5, 'android': 4, 'ios': 3}",11
c154,j147,financial analyst,"['support', 'ops', 'ios', 'java', 'embedded', 'accounting']","['android', 'react', 'ux research', 'java', 'communication']","{'android': 5, 'react': 4, 'ux research': 3, 'java': 2, 'communication': 1}",9
c013,j029,data scientist,"['security', 'react', 'firewall', 'c', 'networking', 'marketing', 'communication', 'git']","['seo', 'figma', 'accounting', 'ml', 'linux', 'sql']","{'seo': 5, 'figma': 4, 'accounting': 3, 'ml': 2, 'linux': 1, 'sql': 1}",11
c095,j083,software engineer,"['git', 'security', 'excel', 'react', 'cloud', 'seo', 'networking', 'docker']","['sales', 'ux research']","{'sales': 5, 'ux research': 4}",12
c035,j002,software engineer,"['python', 'cloud', 'c', 'android', 'sql', 'ops', 'ux research', 'docker']","['ops', 'android', 'sql', 'ux research', 'docker', 'prototyping']","{'ops': 5, 'android': 4, 'sql': 3, 'ux research': 2, 'docker': 1, 'prototyping': 1}",1
c070,j176,marketing analyst,"['support', 'crm', 'excel', 'node']","['excel', 'crm', 'support', 'c', 'node', 'android']","{'excel': 5, 'crm': 4, 'support': 3, 'c': 2, 'node': 1, 'android': 1}",1
c023,j017,financial analyst,"['finance', 'crm', 'accounting', 'security', 'linux', 'ml']","['crm', 'accounting', 'ml']","{'crm': 5, 'accounting': 4, 'ml': 3}",2
c108,j037,data analyst,"['networking', 'finance', 'support', 'c']","['ml', 'crm', 'embedded']","{'ml': 5, 'crm': 4, 'embedded': 3}",7
c199,j012,data scientist,"['accounting', 'node', 'support']","['communication', 'support', 'prototyping', 'accounting']","{'communication': 5, 'support': 4, 'prototyping': 3, 'accounting': 2}",2
c142,j053,data scientist,"['seo', 'marketing', 'sales']","['marketing', 'seo']","{'marketing': 5, 'seo': 4}",10
c137,j101,product manager,"['security', 'embedded']","['security', 'embedded']","{'security': 5, 'embedded': 4}",10
c185,j106,mobile developer,"['support', 'crm', 'figma', 'ux research', 'git', 'c', 'java']","['excel', 'cloud', 'node', 'accounting', 'sql']","{'excel': 5, 'cloud': 4, 'node': 3, 'accounting': 2, 'sql': 1}",3
c137,j149,hr coordinator,"['finance', 'node', 'react', 'firewall', 'android', 'cloud']","['excel', 'teamwork', 'figma', 'cloud']","{'excel': 5, 'teamwork': 4, 'figma': 3, 'cloud': 2}",6
c088,j152,marketing analyst,"['linux', 'figma', 'marketing']","['figma', 'linux', 'marketing', 'sql']","{'figma': 5, 'linux': 4, 'marketing': 3, 'sql': 2}",7
c162,j080,financial analyst,"['python', 'react', 'excel', 'ux research', 'firewall', 'support']","['communication', 'security', 'python', 'ml', 'react']","{'communication': 5, 'security': 4, 'python': 3, 'ml': 2, 'react': 1}",7
c060,j096,mobile developer,"['accounting', 'python', 'react', 'excel']","['marketing', 'linux', 'embedded']","{'marketing': 5, 'linux': 4, 'embedded': 3}",4
c108,j085,marketing analyst,"['firewall', 'security', 'android']","['security', 'linux', 'ops']","{'security': 5, 'linux': 4, 'ops': 3}",2
c151,j152,data analyst,"['crm', 'security', 'accounting', 'android', 'prototyping']","['ops', 'security', 'prototyping', 'android', 'sql', 'docker']","{'ops': 5, 'security': 4, 'prototyping': 3, 'android': 2, 'sql': 1, 'docker': 1}",8
c165,j166,product manager,"['android', 'c', 'git', 'docker', 'node', 'cloud', 'teamwork']","['cloud', 'teamwork', 'communication', 'firewall']","{'cloud': 5, 'teamwork': 4, 'communication': 3, 'firewall': 2}",12
c159,j146,operations associate,"['sales', 'sql', 'react', 'python', 'teamwork', 'java', 'firewall']","['teamwork', 'firewall', 'linux', 'sales']","{'teamwork': 5, 'firewall': 4, 'linux': 3, 'sales': 2}",5
c094,j134,operations associate,"['networking', 'embedded', 'c', 'ops', 'cloud', 'node']","['ux research', 'accounting', 'docker', 'sql']","{'ux research': 5, 'accounting': 4, 'docker': 3, 'sql': 2}",10
c059,j147,software engineer,"['git', 'crm']","['python', 'cloud', 'git', 'android', 'crm', 'support']","{'python': 5, 'cloud': 4, 'git': 3, 'android': 2, 'crm': 1, 'support': 1}",3
c092,j037,product manager,"['accounting', 'crm', 'ops', 'marketing', 'networking', 'java', 'linux']","['java', 'python', 'linux', 'networking']","{'java': 5, 'python': 4, 'linux': 3, 'networking': 2}",6
c116,j153,product manager,"['prototyping', 'ios', 'node', 'sql', 'embedded', 'networking', 'communication', 'excel']","['android', 'excel', 'security', 'ios', 'node', 'prototyping']","{'android': 5, 'excel': 4, 'security': 3, 'ios': 2, 'node': 1, 'prototyping': 1}",5
c180,j184,hr coordinator,"['node', 'sql', 'excel', 'sales', 'support', 'finance', 'cloud']","['finance', 'ops', 'support', 'excel', 'cloud', 'sales']","{'finance': 5, 'ops': 4, 'support': 3, 'excel': 2, 'cloud': 1, 'sales': 1}",4
c084,j007,data analyst,"['networking', 'ux research', 'finance', 'seo', 'ops', 'security', 'figma']","['ml', 'sql']","{'ml': 5, 'sql': 4}",5
c069,j196,product manager,"['java', 'react', 'prototyping']","['ux research', 'linux', 'react', 'java', 'prototyping']","{'ux research': 5, 'linux': 4, 'react': 3, 'java': 2, 'prototyping': 1}",2
c099,j028,ui/ux designer,"['java', 'communication', 'prototyping', 'networking', 'embedded', 'node', 'android']","['cloud', 'python']","{'cloud': 5, 'python': 4}",8
c064,j005,data scientist,"['git', 'react']","['react', 'git', 'docker']","{'react': 5, 'git': 4, 'docker': 3}",4
c125,j019,data analyst,"['security', 'excel', 'accounting', 'react', 'sql', 'communication']","['sql', 'finance', 'accounting', 'firewall', 'communication', 'ios']","{'sql': 5, 'finance': 4, 'accounting': 3, 'firewall': 2, 'communication': 1, 'ios': 1}",4
c181,j034,embedded engineer,"['teamwork', 'react', 'prototyping', 'ux research', 'security', 'ios', 'cloud', 'sql']","['teamwork', 'sql', 'marketing']","{'teamwork': 5, 'sql': 4, 'marketing': 3}",8
c174,j074,financial analyst,"['ops', 'c', 'accounting', 'marketing', 'cloud']","['accounting', 'cloud', 'android', 'marketing', 'c']","{'accounting': 5, 'cloud': 4, 'android': 3, 'marketing': 2, 'c': 1}",2
c067,j161,product manager,"['react', 'teamwork', 'figma']","['communication', 'teamwork', 'prototyping', 'ux research', 'react']","{'communication': 5, 'teamwork': 4, 'prototyping': 3, 'ux research': 2, 'react': 1}",0
c060,j075,devops engineer,"['ml', 'security', 'ux research', 'git', 'communication']","['security', 'ml']","{'security': 5, 'ml': 4}",0
c002,j127,network engineer,"['seo', 'java', 'prototyping']","['marketing', 'ux research']","{'marketing': 5, 'ux research': 4}",3
c067,j058,data scientist,"['accounting', 'linux']","['ios', 'docker', 'ml', 'excel']","{'ios': 5, 'docker': 4, 'ml': 3, 'excel': 2}",8
c021,j156,marketing analyst,"['figma', 'ios']","['ios', 'sales', 'ml', 'figma', 'seo', 'python']","{'ios': 5, 'sales': 4, 'ml': 3, 'figma': 2, 'seo': 1, 'python': 1}",0
c056,j166,product manager,"['networking', 'firewall', 'node', 'figma', 'linux', 'python']","['android', 'docker', 'embedded', 'git', 'java']","{'android': 5, 'docker': 4, 'embedded': 3, 'git': 2, 'java': 1}",1
c120,j084,ui/ux designer,"['ux research', 'ops', 'ml']","['support', 'networking']","{'support': 5, 'networking': 4}",0
c164,j179,marketing analyst,"['excel', 'sales', 'cloud', 'ios', 'support']","['ops', 'crm', 'excel', 'networking', 'communication']","{'ops': 5, 'crm': 4, 'excel': 3, 'networking': 2, 'communication': 1}",7
c150,j181,ui/ux designer,"['firewall', 'git', 'ux research', 'linux']","['linux', 'git', 'react', 'node', 'prototyping', 'ux research']","{'linux': 5, 'git': 4, 'react': 3, 'node': 2, 'prototyping': 1, 'ux research': 1}",8
c111,j122,hr coordinator,"['firewall', 'node', 'git', 'security']","['security', 'node', 'git']","{'security': 5, 'node': 4, 'git': 3}",9
c066,j108,software engineer,"['excel', 'support', 'communication', 'security', 'android', 'ml', 'cloud', 'figma']","['ml', 'android', 'support']","{'ml': 5, 'android': 4, 'support': 3}",2
c156,j078,ui/ux designer,"['firewall', 'docker', 'finance', 'ml', 'ops', 'sales', 'java', 'marketing']","['crm', 'security', 'node', 'excel', 'python', 'cloud']","{'crm': 5, 'security': 4, 'node': 3, 'excel': 2, 'python': 1, 'cloud': 1}",4
c141,j105,data analyst,"['git', 'security', 'linux', 'python', 'java', 'react']","['java', 'git']","{'java': 5, 'git': 4}",9
c068,j042,devops engineer,"['docker', 'cloud', 'node', 'security', 'communication', 'embedded', 'finance']","['embedded', 'security']","{'embedded': 5, 'security': 4}",10
c177,j097,hr coordinator,"['support', 'sql', 'docker', 'teamwork', 'seo', 'ios']","['sales', 'ux research']","{'sales': 5, 'ux research': 4}",0
c176,j104,software engineer,"['marketing', 'figma', 'seo', 'firewall']","['firewall', 'seo', 'docker', 'marketing', 'security', 'figma']","{'firewall': 5, 'seo': 4, 'docker': 3, 'marketing': 2, 'security': 1, 'figma': 1}",3
c180,j165,embedded engineer,"['crm', 'figma', 'firewall']","['sales', 'crm']","{'sales': 5, 'crm': 4}",0
c147,j103,customer support,"['firewall', 'ios']","['sales', 'node', 'react', 'embedded']","{'sales': 5, 'node': 4, 'react': 3, 'embedded': 2}",2
c089,j122,network engineer,"['security', 'ios', 'support', 'accounting', 'seo', 'git', 'firewall', 'finance']","['android', 'ios', 'support', 'git', 'accounting']","{'android': 5, 'ios': 4, 'support': 3, 'git': 2, 'accounting': 1}",11
c025,j189,mobile developer,"['networking', 'python', 'node', 'ops', 'c']","['java', 'cloud', 'android']","{'java': 5, 'cloud': 4, 'android': 3}",6
c081,j103,operations associate,"['finance', 'excel', 'figma', 'node', 'c', 'ux research', 'seo', 'android']","['c', 'android', 'finance', 'node', 'ml', 'figma']","{'c': 5, 'android': 4, 'finance': 3, 'node': 2, 'ml': 1, 'figma': 1}",11
c098,j035,customer support,"['ml', 'git', 'communication', 'accounting', 'marketing']","['git', 'docker', 'ml', 'ops']","{'git': 5, 'docker': 4, 'ml': 3, 'ops': 2}",9
c034,j098,cybersecurity analyst,"['prototyping', 'communication', 'c', 'firewall', 'excel', 'ops']","['java', 'prototyping', 'sales', 'ops', 'firewall', 'node']","{'java': 5, 'prototyping': 4, 'sales': 3, 'ops': 2, 'firewall': 1, 'node': 1}",11
c121,j106,marketing analyst,"['security', 'react', 'python', 'prototyping', 'crm', 'node', 'accounting']","['finance', 'teamwork', 'java', 'embedded']","{'finance': 5, 'teamwork': 4, 'java': 3, 'embedded': 2}",0
c045,j034,embedded engineer,"['docker', 'sales', 'git', 'c', 'networking']","['finance', 'security', 'firewall', 'node']","{'finance': 5, 'security': 4, 'firewall': 3, 'node': 2}",9
c156,j041,network engineer,"['git', 'marketing', 'android', 'node', 'crm', 'figma', 'accounting', 'linux']","['prototyping', 'c', 'java', 'cloud', 'teamwork', 'ml']","{'prototyping': 5, 'c': 4, 'java': 3, 'cloud': 2, 'teamwork': 1, 'ml': 1}",8
c105,j160,ui/ux designer,"['node', 'ml', 'c', 'marketing', 'communication', 'embedded']","['cloud', 'node', 'marketing', 'ml', 'c', 'embedded']","{'cloud': 5, 'node': 4, 'marketing': 3, 'ml': 2, 'c': 1, 'embedded': 1}",10
c135,j153,software engineer,"['android', 'docker']","['git', 'teamwork', 'python']","{'git': 5, 'teamwork': 4, 'python': 3}",1
c080,j085,network engineer,"['seo', 'react', 'docker', 'ux research', 'android', 'git', 'crm']","['support', 'teamwork', 'marketing', 'excel', 'ios', 'sql']","{'support': 5, 'teamwork': 4, 'marketing': 3, 'excel': 2, 'ios': 1, 'sql': 1}",11
c096,j036,customer support,"['react', 'cloud', 'sales', 'ios', 'embedded', 'networking', 'crm']","['seo', 'ios', 'crm', 'finance', 'docker']","{'seo': 5, 'ios': 4, 'crm': 3, 'finance': 2, 'docker': 1}",8
c155,j019,data analyst,"['communication', 'embedded', 'c', 'docker', 'ml', 'java', 'sql', 'android']","['prototyping', 'react']","{'prototyping': 5, 'react': 4}",12
c037,j166,embedded engineer,"['networking', 'seo']","['seo', 'marketing', 'networking']","{'seo': 5, 'marketing': 4, 'networking': 3}",9
c138,j035,network engineer,"['accounting', 'security', 'embedded']","['security', 'accounting', 'cloud', 'ops']","{'security': 5, 'accounting': 4, 'cloud': 3, 'ops': 2}",6
c150,j109,software engineer,"['git', 'prototyping', 'node', 'seo']","['react', 'ml', 'node', 'crm', 'firewall', 'accounting']","{'react': 5, 'ml': 4, 'node': 3, 'crm': 2, 'firewall': 1, 'accounting': 1}",0
c003,j132,data scientist,"['figma', 'docker', 'ops', 'node']","['cloud', 'communication']","{'cloud': 5, 'communication': 4}",6
c179,j144,data scientist,"['cloud', 'networking', 'seo', 'ios']","['finance', 'python']","{'finance': 5, 'python': 4}",4
c144,j190,devops engineer,"['teamwork', 'communication', 'java', 'figma']","['crm', 'java', 'teamwork', 'figma', 'communication', 'sales']","{'crm': 5, 'java': 4, 'teamwork': 3, 'figma': 2, 'communication': 1, 'sales': 1}",10
c009,j172,hr coordinator,"['java', 'ios', 'accounting', 'finance', 'figma', 'sql', 'python', 'security']","['react', 'networking', 'sql', 'figma']","{'react': 5, 'networking': 4, 'sql': 3, 'figma': 2}",5
c063,j011,devops engineer,"['seo', 'teamwork', 'firewall', 'accounting', 'crm', 'prototyping']","['seo', 'prototyping', 'teamwork', 'crm']","{'seo': 5, 'prototyping': 4, 'teamwork': 3, 'crm': 2}",11
c064,j107,mobile developer,"['security', 'excel', 'support', 'ml', 'android', 'embedded', 'ux research', 'networking']","['ux research', 'python', 'docker', 'marketing', 'crm', 'communication']","{'ux research': 5, 'python': 4, 'docker': 3, 'marketing': 2, 'crm': 1, 'communication': 1}",8
c099,j051,operations associate,"['java', 'sql', 'support', 'networking', 'embedded', 'ios']","['crm', 'ops', 'security', 'seo', 'sales', 'python']","{'crm': 5, 'ops': 4, 'security': 3, 'seo': 2, 'sales': 1, 'python': 1}",0
c141,j138,ui/ux designer,"['prototyping', 'c', 'java', 'marketing', 'support', 'communication']","['crm', 'linux']","{'crm': 5, 'linux': 4}",3
c155,j065,operations associate,"['firewall', 'sales', 'crm', 'ios', 'cloud', 'accounting']","['c', 'finance', 'seo', 'figma']","{'c': 5, 'finance': 4, 'seo': 3, 'figma': 2}",12
c081,j114,data analyst,"['security', 'sales', 'crm', 'java']","['security', 'java']","{'security': 5, 'java': 4}",6
c063,j138,financial analyst,"['communication', 'excel', 'linux', 'ux research']","['excel', 'linux', 'communication']","{'excel': 5, 'linux': 4, 'communication': 3}",4
c142,j132,devops engineer,"['java', 'prototyping', 'react', 'ios', 'embedded']","['networking', 'accounting']","{'networking': 5, 'accounting': 4}",6
c073,j062,customer support,"['security', 'firewall']","['firewall', 'git', 'marketing']","{'firewall': 5, 'git': 4, 'marketing': 3}",12
c094,j150,network engineer,"['finance', 'sql', 'crm', 'ops', 'embedded']","['android', 'crm', 'finance', 'sql']","{'android': 5, 'crm': 4, 'finance': 3, 'sql': 2}",2
c130,j192,mobile developer,"['python', 'node', 'seo', 'marketing', 'teamwork', 'accounting', 'git']","['ml', 'teamwork', 'seo', 'accounting', 'python']","{'ml': 5, 'teamwork': 4, 'seo': 3, 'accounting': 2, 'python': 1}",5
c028,j030,embedded engineer,"['firewall', 'security', 'sql', 'cloud', 'c', 'seo', 'android']","['firewall', 'cloud', 'android']","{'firewall': 5, 'cloud': 4, 'android': 3}",4
c073,j158,ui/ux designer,"['teamwork', 'prototyping', 'networking']","['teamwork', 'networking', 'marketing', 'prototyping', 'docker', 'finance']","{'teamwork': 5, 'networking': 4, 'marketing': 3, 'prototyping': 2, 'docker': 1, 'finance': 1}",2
c127,j188,software engineer,"['communication', 'networking']","['react', 'linux', 'support', 'sales', 'ops', 'teamwork']","{'react': 5, 'linux': 4, 'support': 3, 'sales': 2, 'ops': 1, 'teamwork': 1}",11
c157,j176,ui/ux designer,"['java', 'firewall', 'excel']","['sales', 'firewall', 'communication', 'excel', 'java']","{'sales': 5, 'firewall': 4, 'communication': 3, 'excel': 2, 'java': 1}",7
c117,j151,product manager,"['ml', 'docker', 'firewall', 'java']","['ml', 'java', 'firewall']","{'ml': 5, 'java': 4, 'firewall': 3}",8
c133,j163,customer support,"['security', 'ios', 'linux', 'c', 'excel']","['security', 'c', 'figma', 'linux']","{'security': 5, 'c': 4, 'figma': 3, 'linux': 2}",7
c038,j123,data scientist,"['ios', 'figma', 'excel', 'security']","['java', 'security', 'excel', 'figma']","{'java': 5, 'security': 4, 'excel': 3, 'figma': 2}",6
c119,j048,marketing analyst,"['sales', 'android', 'node', 'java']","['sales', 'node', 'android']","{'sales': 5, 'node': 4, 'android': 3}",0
c138,j051,hr coordinator,"['ops', 'ux research', 'react']","['react', 'figma']","{'react': 5, 'figma': 4}",0
c144,j028,financial analyst,"['embedded', 'sales', 'ios']","['ios', 'teamwork']","{'ios': 5, 'teamwork': 4}",2
c049,j036,embedded engineer,"['ios', 'accounting', 'ux research', 'security', 'crm', 'c']","['c', 'teamwork', 'security', 'crm', 'excel', 'embedded']","{'c': 5, 'teamwork': 4, 'security': 3, 'crm': 2, 'excel': 1, 'embedded': 1}",5
c093,j160,data scientist,"['android', 'node', 'java', 'c']","['android', 'c']","{'android': 5, 'c': 4}",1
c048,j063,software engineer,"['ml', 'ios', 'c']","['node', 'ml', 'android', 'c', 'ios']","{'node': 5, 'ml': 4, 'android': 3, 'c': 2, 'ios': 1}",12
c175,j089,operations associate,"['communication', 'docker']","['support', 'firewall', 'communication', 'docker', 'react']","{'support': 5, 'firewall': 4, 'communication': 3, 'docker': 2, 'react': 1}",10
c097,j191,data analyst,"['git', 'android', 'ux research']","['ops', 'react']","{'ops': 5, 'react': 4}",5
